Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00731_073_20251105190740_91.13.BIN,55.58,05/11/2025 19:07
TG073_73202_67679_00627_073_20251105080557_91.13.BIN,24.02,05/11/2025 08:06
TG073_73202_67679_00628_073_20251105193526_91.13.BIN,43.85,05/11/2025 19:37
TG073_73203_67817_00829_073_20251105121313_91.13.BIN,30.84,05/11/2025 13:23
TG073_73204_67804_00845_073_20251105194054_91.13.BIN,51.10,05/11/2025 19:42
TG073_73207_67539_00863_073_20251105091108_91.13.BIN,27.39,05/11/2025 09:11
TG073_73208_68097_00982_073_20251105131217_91.13.BIN,41.61,05/11/2025 19:00
TG073_73208_68097_00983_073_20251105190026_91.13.BIN,19.17,05/11/2025 19:00
TG073_73209_67705_00182_073_20251105190008_91.13.BIN,63.69,05/11/2025 19:00
TG073_73210_67802_01035_073_20251105135212_91.13.BIN,41.30,05/11/2025 23:58
TG073_73210_67802_01036_073_20251105235854_91.13.BIN,21.56,05/11/2025 23:58
TG073_73212_67640_01112_073_20251105121741_91.13.BIN,41.57,05/11/2025 20:47
TG073_73212_67640_01113_073_20251105204647_91.13.BIN,36.48,05/11/2025 20:47
TG073_73213_67955_00942_073_20251105124908_91.13.BIN,37.09,05/11/2025 20:53
TG073_73213_67955_00943_073_20251105205339_91.13.BIN,19.97,05/11/2025 20:53
TG073_73214_67749_00954_073_20251105115712_91.13.BIN,42.50,05/11/2025 20:31
TG073_73214_67749_00955_073_20251105202913_91.13.BIN,29.67,05/11/2025 20:31
