Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00728_073_20251103080257_91.13.BIN,20.14,03/11/2025 08:03
TG073_73201_67649_00729_073_20251103190328_91.13.BIN,30.41,03/11/2025 19:02
TG073_73202_67679_00625_073_20251103125452_91.13.BIN,41.42,03/11/2025 12:58
TG073_73203_67817_00827_073_20251103084912_91.13.BIN,27.69,03/11/2025 08:48
TG073_73204_67804_00842_073_20251103194414_91.13.BIN,48.24,03/11/2025 19:43
TG073_73207_67539_00861_073_20251103190421_91.13.BIN,48.84,03/11/2025 19:23
TG073_73208_68097_00979_073_20251103191915_91.13.BIN,60.78,03/11/2025 19:18
TG073_73209_67705_00180_073_20251103184521_91.13.BIN,67.93,03/11/2025 18:44
TG073_73210_67802_01031_073_20251103134952_91.13.BIN,45.23,03/11/2025 23:49
TG073_73210_67802_01032_073_20251103234849_91.13.BIN,22.41,03/11/2025 23:49
TG073_73212_67640_01109_073_20251103121834_91.13.BIN,47.93,03/11/2025 20:40
TG073_73212_67640_01110_073_20251103204126_91.13.BIN,26.73,03/11/2025 20:40
TG073_73213_67955_00938_073_20251103124806_91.13.BIN,40.79,03/11/2025 20:54
TG073_73213_67955_00939_073_20251103205443_91.13.BIN,25.96,03/11/2025 20:54
TG073_73214_67749_00951_073_20251103115958_91.13.BIN,36.41,03/11/2025 20:39
TG073_73214_67749_00952_073_20251103203122_91.13.BIN,27.70,03/11/2025 20:39
