Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00761_073_20251212190854_91.13.BIN,50.56,12/12/2025 19:10
TG073_73204_67804_00874_073_20251212195321_91.13.BIN,50.40,12/12/2025 19:54
TG073_73205_67910_00346_073_20251212073854_91.13.BIN,13.70,12/12/2025 07:40
TG073_73205_67910_00347_073_20251212203629_91.13.BIN,26.26,12/12/2025 20:51
TG073_73207_67539_00912_073_20251212091742_91.13.BIN,10.62,12/12/2025 09:17
TG073_73208_68097_01033_073_20251212193308_91.13.BIN,61.08,12/12/2025 19:34
TG073_73209_67817_00866_073_20251212183048_91.13.BIN,62.67,12/12/2025 18:38
TG073_73210_67802_01095_073_20251212134645_91.13.BIN,45.20,12/12/2025 23:51
TG073_73210_67802_01096_073_20251212235114_91.13.BIN,22.79,12/12/2025 23:51
TG073_73211_68084_00317_073_20251212193236_91.13.BIN,61.44,12/12/2025 19:33
TG073_73212_67640_01162_073_20251212122320_91.13.BIN,52.59,12/12/2025 20:46
TG073_73212_67640_01163_073_20251212204539_91.13.BIN,28.07,12/12/2025 20:46
TG073_73213_67955_01000_073_20251212124012_91.13.BIN,36.39,12/12/2025 20:41
TG073_73213_67955_01001_073_20251212204117_91.13.BIN,24.62,12/12/2025 20:41
TG073_73214_67749_00995_073_20251212124653_91.13.BIN,30.21,12/12/2025 12:47
