Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00779_073_20260112203216_91.13.BIN,68.22,12/01/2026 20:31
TG073_73202_67679_00015_073_20260112194710_91.13.BIN,54.72,12/01/2026 19:45
TG073_73203_67817_00889_073_20260112134927_91.13.BIN,47.24,12/01/2026 23:53
TG073_73203_67817_00890_073_20260112234837_91.13.BIN,33.53,12/01/2026 23:53
TG073_73204_67804_00910_073_20260112124827_91.13.BIN,28.24,12/01/2026 18:55
TG073_73204_67804_00911_073_20260112185506_91.13.BIN,11.28,12/01/2026 18:55
TG073_73205_67910_00363_073_20260112080651_91.13.BIN,15.58,12/01/2026 08:07
TG073_73207_67539_00944_073_20260112191516_91.13.BIN,51.50,12/01/2026 19:15
TG073_73208_68097_01074_073_20260112121925_91.13.BIN,30.91,12/01/2026 20:38
TG073_73208_68097_01075_073_20260112203930_91.13.BIN,27.88,12/01/2026 20:38
TG073_73209_67705_00018_073_20260112123836_91.13.BIN,45.29,12/01/2026 13:32
TG073_73212_67640_01202_073_20260112191718_91.13.BIN,61.01,12/01/2026 19:16
TG073_73213_67955_01053_073_20260112124858_91.13.BIN,31.24,12/01/2026 20:10
TG073_73213_67955_01054_073_20260112125210_91.13.BIN,2.38,12/01/2026 20:10
TG073_73213_67955_01055_073_20260112201013_91.13.BIN,25.25,12/01/2026 20:10
TG073_73214_67749_01035_073_20260112121725_91.13.BIN,25.36,12/01/2026 12:17
