Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00830_073_20260304203921_91.13.BIN,61.50,04/03/2026 20:37
TG073_73203_68259_00015_073_20260304045507_91.13.BIN,4.22,04/03/2026 04:55
TG073_73203_68259_00016_073_20260304140323_91.13.BIN,34.60,04/03/2026 14:01
TG073_73204_67804_00952_073_20260304124248_91.13.BIN,30.34,04/03/2026 12:41
TG073_73205_67910_00387_073_20260304083244_91.13.BIN,24.24,04/03/2026 08:32
TG073_73206_67655_00776_073_20260304194842_91.13.BIN,43.27,04/03/2026 19:47
TG073_73207_67539_00990_073_20260304073826_91.13.BIN,21.65,04/03/2026 07:37
TG073_73207_67539_00991_073_20260304235109_91.13.BIN,30.35,04/03/2026 23:52
TG073_73208_68097_01140_073_20260304122214_91.13.BIN,40.50,04/03/2026 20:42
TG073_73208_68097_01141_073_20260304204410_91.13.BIN,22.59,04/03/2026 20:42
TG073_73209_67705_00064_073_20260304183134_91.13.BIN,48.37,04/03/2026 18:59
TG073_73210_67802_01222_073_20260304124327_91.13.BIN,38.37,04/03/2026 21:07
TG073_73210_67802_01223_073_20260304210931_91.13.BIN,22.95,04/03/2026 21:07
TG073_73211_68084_00346_073_20260304132714_91.13.BIN,35.12,04/03/2026 13:25
TG073_73214_67749_01096_073_20260304201222_91.13.BIN,67.09,04/03/2026 20:11
TG073_73212_67640_01268_073_20260304191107_91.13.BIN,82.34,05/03/2026 20:42
