Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00847_073_20260328085635_91.13.BIN,13.50,28/03/2026 08:57
TG073_73203_68259_00036_073_20260328202759_91.13.BIN,44.23,28/03/2026 20:27
TG073_73204_67804_00975_073_20260328140855_91.13.BIN,59.78,28/03/2026 14:09
TG073_73207_67539_01012_073_20260328124001_91.13.BIN,38.31,28/03/2026 22:47
TG073_73207_67539_01013_073_20260328224735_91.13.BIN,19.40,28/03/2026 22:47
TG073_73208_68097_01174_073_20260328065727_91.13.BIN,14.40,28/03/2026 07:10
TG073_73208_68097_01175_073_20260328132551_91.13.BIN,11.88,28/03/2026 20:06
TG073_73208_68097_01176_073_20260328200538_91.13.BIN,24.54,28/03/2026 20:06
TG073_73209_67705_00083_073_20260328115935_91.13.BIN,32.22,28/03/2026 12:19
TG073_73209_67705_00084_073_20260328221427_91.13.BIN,4.49,28/03/2026 22:14
TG073_73210_67802_01260_073_20260328125853_91.13.BIN,29.07,28/03/2026 12:59
TG073_73211_68084_00370_073_20260328123546_91.13.BIN,24.73,28/03/2026 12:36
TG073_73211_68084_00371_073_20260328191528_91.13.BIN,13.51,28/03/2026 19:16
TG073_73213_67955_01165_073_20260328131247_91.13.BIN,26.70,28/03/2026 13:56
TG073_73214_67749_01127_073_20260328130356_91.13.BIN,33.23,28/03/2026 13:03
