Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00774_073_20260105143747_91.13.BIN,48.79,05/01/2026 14:38
TG073_73202_67679_00005_073_20260105075541_91.13.BIN,28.75,05/01/2026 07:55
TG073_73202_67679_00006_073_20260105124206_91.13.BIN,5.81,05/01/2026 21:16
TG073_73202_67679_00007_073_20260105211619_91.13.BIN,33.23,05/01/2026 21:16
TG073_73203_67817_00879_073_20260105120653_91.13.BIN,40.65,05/01/2026 20:22
TG073_73203_67817_00880_073_20260105202317_91.13.BIN,25.70,05/01/2026 20:22
TG073_73204_67804_00903_073_20260105133859_91.13.BIN,35.67,05/01/2026 13:37
TG073_73205_67910_00357_073_20260105081031_91.13.BIN,35.83,05/01/2026 08:11
TG073_73206_67655_00759_073_20260105142741_91.13.BIN,20.01,05/01/2026 14:32
TG073_73207_67539_00938_073_20260105191504_91.13.BIN,46.91,05/01/2026 19:13
TG073_73208_68097_01064_073_20260105112153_91.13.BIN,47.41,05/01/2026 11:21
TG073_73208_68097_01065_073_20260105191815_91.13.BIN,26.97,05/01/2026 19:19
TG073_73208_68097_01066_073_20260105191911_91.13.BIN,1.32,05/01/2026 19:19
TG073_73209_67705_00011_073_20260105185201_91.13.BIN,58.29,05/01/2026 19:12
TG073_73210_67802_01133_073_20260105134151_91.13.BIN,35.48,05/01/2026 23:47
TG073_73210_67802_01134_073_20260105234934_91.13.BIN,19.53,05/01/2026 23:47
TG073_73212_67640_01191_073_20260105121411_91.13.BIN,55.02,05/01/2026 20:37
TG073_73212_67640_01192_073_20260105122312_91.13.BIN,1.61,05/01/2026 20:37
TG073_73212_67640_01193_073_20260105203907_91.13.BIN,28.95,05/01/2026 20:37
TG073_73213_67955_01042_073_20260105110244_91.13.BIN,34.48,05/01/2026 11:02
TG073_73214_67749_01026_073_20260105195917_91.13.BIN,56.88,05/01/2026 20:00
