Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00811_073_20260218124918_91.13.BIN,24.65,18/02/2026 21:28
TG073_73201_67649_00812_073_20260218205105_91.13.BIN,21.14,18/02/2026 21:28
TG073_73204_67804_00942_073_20260218090307_91.13.BIN,15.79,18/02/2026 10:09
TG073_73207_67539_00975_073_20260218103623_91.13.BIN,16.71,18/02/2026 10:34
TG073_73208_68097_01122_073_20260218120606_91.13.BIN,20.97,18/02/2026 12:06
TG073_73209_67705_00049_073_20260218120651_91.13.BIN,23.44,18/02/2026 12:13
TG073_73209_67705_00050_073_20260218195534_91.13.BIN,21.39,18/02/2026 19:55
TG073_73210_67802_01198_073_20260218135245_91.13.BIN,19.47,18/02/2026 13:53
TG073_73210_67802_01199_073_20260218135348_91.13.BIN,2.04,18/02/2026 13:53
TG073_73211_68084_00328_073_20260218194803_91.13.BIN,34.42,18/02/2026 19:48
TG073_73212_67640_01249_073_20260218125924_91.13.BIN,25.46,18/02/2026 12:57
TG073_73214_67749_01076_073_20260218114117_91.13.BIN,22.47,18/02/2026 11:39
