Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00841_073_20260320092657_91.13.BIN,27.11,20/03/2026 09:27
TG073_73203_68259_00025_073_20260320194119_91.13.BIN,44.65,20/03/2026 19:41
TG073_73204_67804_00968_073_20260320140159_91.13.BIN,30.66,20/03/2026 14:02
TG073_73205_67910_00391_073_20260320135202_91.13.BIN,6.28,20/03/2026 13:53
TG073_73205_67910_00392_073_20260320204400_91.13.BIN,17.47,20/03/2026 20:43
TG073_73206_67655_00792_073_20260320075522_91.13.BIN,19.28,20/03/2026 07:57
TG073_73206_67655_00793_073_20260320203506_91.13.BIN,30.17,20/03/2026 20:35
TG073_73207_67539_01005_073_20260320191605_91.13.BIN,61.09,20/03/2026 19:16
TG073_73208_68097_01165_073_20260320135526_91.13.BIN,36.20,20/03/2026 13:56
TG073_73209_67705_00077_073_20260320181853_91.13.BIN,66.29,20/03/2026 18:51
TG073_73210_67802_01243_073_20260320124045_91.13.BIN,39.39,20/03/2026 21:02
TG073_73210_67802_01244_073_20260320124526_91.13.BIN,1.61,20/03/2026 21:02
TG073_73210_67802_01245_073_20260320210236_91.13.BIN,32.75,20/03/2026 21:02
TG073_73212_67640_01288_073_20260320190144_91.13.BIN,68.94,20/03/2026 19:03
TG073_73213_67955_01151_073_20260320131556_91.13.BIN,25.30,20/03/2026 13:16
TG073_73213_67955_01152_073_20260320234219_91.13.BIN,24.81,21/03/2026 00:03
TG073_73214_67749_01116_073_20260320125941_91.13.BIN,39.88,20/03/2026 13:00
