Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00766_073_20251218184654_91.13.BIN,51.73,18/12/2025 18:47
TG073_73204_67804_00880_073_20251218061138_91.13.BIN,8.50,18/12/2025 06:12
TG073_73205_67910_00350_073_20251218191741_91.13.BIN,48.98,18/12/2025 19:17
TG073_73206_67655_00750_073_20251218184454_91.13.BIN,45.38,18/12/2025 18:45
TG073_73207_67539_00916_073_20251218051022_91.13.BIN,3.22,18/12/2025 05:10
TG073_73207_67539_00917_073_20251218122209_91.13.BIN,3.04,18/12/2025 12:22
TG073_73207_67539_00918_073_20251218234507_91.13.BIN,24.06,18/12/2025 23:45
TG073_73208_68097_01040_073_20251218122454_91.13.BIN,36.67,18/12/2025 15:25
TG073_73208_68097_01041_073_20251218152537_91.13.BIN,8.86,18/12/2025 15:25
TG073_73209_67817_00872_073_20251218181427_91.13.BIN,68.86,18/12/2025 18:45
TG073_73210_67802_01106_073_20251218140502_91.13.BIN,34.33,18/12/2025 14:04
TG073_73210_67802_01107_073_20251218204429_91.13.BIN,18.71,18/12/2025 20:44
TG073_73212_67640_01171_073_20251218190739_91.13.BIN,63.02,18/12/2025 19:06
TG073_73213_67955_01012_073_20251218123909_91.13.BIN,37.41,18/12/2025 20:53
TG073_73213_67955_01013_073_20251218205205_91.13.BIN,22.20,18/12/2025 20:53
TG073_73214_67749_01004_073_20251218200701_91.13.BIN,55.35,18/12/2025 20:07
TG073_73202_67679_00001_073_20251218115820_91.13.BIN,31.80,19/12/2025 10:35
TG073_73202_67679_00002_073_20251218213934_91.13.BIN,23.60,19/12/2025 10:35
