Arquivo,Tamanho (KB),Data Modificação
TG073_73201_67649_00777_073_20260107144319_91.13.BIN,34.87,07/01/2026 14:44
TG073_73202_67679_00009_073_20260107081837_91.13.BIN,15.25,07/01/2026 08:19
TG073_73203_67817_00882_073_20260107123627_91.13.BIN,57.85,07/01/2026 12:39
TG073_73204_67804_00905_073_20260107120837_91.13.BIN,29.77,07/01/2026 12:21
TG073_73205_67910_00359_073_20260107080755_91.13.BIN,20.66,07/01/2026 08:08
TG073_73205_67910_00360_073_20260107203134_91.13.BIN,33.50,07/01/2026 20:32
TG073_73207_67539_00940_073_20260107191916_91.13.BIN,46.49,07/01/2026 19:20
TG073_73208_68097_01069_073_20260107192026_91.13.BIN,62.70,07/01/2026 19:23
TG073_73209_67705_00013_073_20260107183229_91.13.BIN,56.23,07/01/2026 19:03
TG073_73210_67802_01137_073_20260107135111_91.13.BIN,29.82,07/01/2026 23:44
TG073_73210_67802_01138_073_20260107234454_91.13.BIN,20.36,07/01/2026 23:44
TG073_73212_67640_01195_073_20260107122740_91.13.BIN,47.58,07/01/2026 20:38
TG073_73212_67640_01196_073_20260107203613_91.13.BIN,22.70,07/01/2026 20:38
TG073_73213_67955_01045_073_20260107124101_91.13.BIN,32.99,07/01/2026 21:10
TG073_73213_67955_01046_073_20260107210820_91.13.BIN,33.30,07/01/2026 21:10
TG073_73214_67749_01029_073_20260107200611_91.13.BIN,53.17,07/01/2026 20:07
